date,domain,status,status_details,pages
2021-12-11,domain3,Valid,"Indexed, not submitted in sitemap",938
2021-12-11,domain3,Warning,"Indexed, though blocked by robots.txt",21
2021-12-11,domain3,Excluded,Not found (404),14
2021-12-11,domain3,Excluded,Page with redirect,1884
2021-12-11,domain3,Valid,Submitted and indexed,6284
2021-12-11,domain3,Error,Submitted URL not found (404),0
2021-12-13,domain3,Excluded,Alternate page with proper canonical tag,642
2021-12-13,domain3,Excluded,Blocked by robots.txt,141
2021-12-13,domain3,Excluded,Crawled - currently not indexed,1964
2021-12-13,domain3,Excluded,Discovered - currently not indexed,543
2021-12-13,domain3,Excluded,Duplicate without user-selected canonical,16
2021-12-13,domain3,Excluded,"Duplicate, Google chose different canonical than user",3
2021-12-13,domain3,Excluded,"Duplicate, submitted URL not selected as canonical",16
2021-12-13,domain3,Excluded,Excluded by ‘noindex’ tag,3185
2021-12-13,domain3,Valid,"Indexed, not submitted in sitemap",1000
2021-12-13,domain3,Warning,"Indexed, though blocked by robots.txt",19
2021-12-13,domain3,Excluded,Not found (404),19
2021-12-13,domain3,,Page with redirect,1864
2021-12-13,domain3,Valid,Submitted and indexed,6434
2021-12-13,domain3,Error,Submitted URL not found (404),0
2021-12-14,domain3,Excluded,Alternate page with proper canonical tag,642
2021-12-14,domain3,Excluded,Blocked by robots.txt,141
2021-12-14,domain3,Excluded,Crawled - currently not indexed,1964
2021-12-14,domain3,Excluded,Discovered - currently not indexed,543
2021-12-14,domain3,Excluded,Duplicate without user-selected canonical,16
2021-12-14,domain3,Excluded,"Duplicate, Google chose different canonical than user",3
2021-12-14,domain3,Excluded,"Duplicate, submitted URL not selected as canonical",16
2021-12-14,domain3,Excluded,,3185
2021-12-14,domain3,Valid,"Indexed, not submitted in sitemap",1000
2021-12-14,domain3,Warning,"Indexed, though blocked by robots.txt",19
2021-12-14,domain3,Excluded,Not found (404),19
2021-12-14,domain3,Excluded,Page with redirect,1864
2021-12-14,domain3,Valid,Submitted and indexed,6434
2021-12-14,domain3,Error,Submitted URL not found (404),0
2021-12-15,domain3,Excluded,Alternate page with proper canonical tag,679
2021-12-15,domain3,Excluded,Blocked by robots.txt,168
2021-12-15,domain3,Excluded,Crawled - currently not indexed,1952
2021-12-15,domain3,Excluded,Discovered - currently not indexed,502
2021-12-15,domain3,Excluded,Duplicate without user-selected canonical,16
2021-12-15,domain3,Excluded,"Duplicate, Google chose different canonical than user",3
2021-12-15,domain3,Excluded,"Duplicate, submitted URL not selected as canonical",22
2021-12-15,domain3,Excluded,Excluded by ‘noindex’ tag,3177
2021-12-15,domain3,Valid,"Indexed, not submitted in sitemap",977
2021-12-15,domain3,Warning,"Indexed, though blocked by robots.txt",19
2021-12-15,domain3,Excluded,Not found (404),19
2021-12-15,domain3,Excluded,Page with redirect,1863
2021-12-15,domain3,Valid,Submitted and indexed,6483
,domain3,Error,Submitted URL not found (404),0
2021-12-06,domain4,Excluded,Alternate page with proper canonical tag,55738
2021-12-06,domain4,Excluded,Crawled - currently not indexed,1160
2021-12-06,domain4,Excluded,Duplicate without user-selected canonical,20
2021-12-06,domain4,Excluded,"Duplicate, Google chose different canonical than user",3
2021-12-06,domain4,Excluded,Excluded by ‘noindex’ tag,29661
2021-12-06,domain4,Valid,"Indexed, not submitted in sitemap",23610
2021-12-06,domain4,Warning,"Indexed, though blocked by robots.txt",1
2021-12-06,domain4,Excluded,Not found (404),97
2021-12-06,domain4,Warning,Page indexed without content,0
2021-12-06,domain4,Excluded,Page with redirect,1966
2021-12-06,domain4,Error,Server error (5xx),4
2021-12-06,domain4,Excluded,Soft 404,32
2021-12-07,domain4,Excluded,Alternate page with proper canonical tag,55738
2021-12-07,domain4,,Crawled - currently not indexed,1160
2021-12-07,domain4,Excluded,Duplicate without user-selected canonical,20
2021-12-07,domain4,Excluded,"Duplicate, Google chose different canonical than user",3
2021-12-07,domain4,Excluded,Excluded by ‘noindex’ tag,29661
2021-12-07,domain4,Valid,"Indexed, not submitted in sitemap",23610
2021-12-07,domain4,Warning,"Indexed, though blocked by robots.txt",1
2021-12-07,domain4,Excluded,Not found (404),97
2021-12-07,domain4,Warning,Page indexed without content,0
2021-12-07,domain4,Excluded,,1966
2021-12-07,domain4,Error,Server error (5xx),4
2021-12-07,domain4,Excluded,Soft 404,32
2021-12-09,domain4,Excluded,Alternate page with proper canonical tag,55637
2021-12-09,domain4,Excluded,Crawled - currently not indexed,1165
2021-12-09,domain4,Excluded,Duplicate without user-selected canonical,19
2021-12-09,domain4,Excluded,"Duplicate, Google chose different canonical than user",3
2021-12-09,domain4,Excluded,Excluded by ‘noindex’ tag,29641
2021-12-09,domain4,Valid,"Indexed, not submitted in sitemap",23724
2021-12-09,domain4,Warning,"Indexed, though blocked by robots.txt",2
2021-12-09,domain4,Excluded,Not found (404),96
2021-12-09,domain4,Warning,Page indexed without content,0
2021-12-09,domain4,Excluded,Page with redirect,1957
2021-12-09,domain4,Error,Server error (5xx),4
2021-12-09,domain4,Excluded,Soft 404,32
2021-12-10,domain4,Excluded,Alternate page with proper canonical tag,55637
2021-12-10,domain4,Excluded,Crawled - currently not indexed,1165
2021-12-10,domain4,Excluded,Duplicate without user-selected canonical,19
2021-12-10,domain4,Excluded,"Duplicate, Google chose different canonical than user",3
